10,10,10,100,1500,-1,0.011892,0,1
20,10,10,100,1500,-1,0.025164,0,1
30,10,10,100,1500,-1,0.033936,0,1
40,10,10,100,1500,-1,0.046956,0,1
50,10,10,100,1500,-1,0.059376,0,2
60,10,10,100,1500,-1,0.072756,0,1
70,10,10,100,1500,-1,0.085968,0,1
80,10,10,100,1500,-1,0.0954686,0,2
90,10,10,100,1500,-1,0.108108,0,1
100,10,10,100,1500,-1,0.119592,0,2
110,10,10,100,1500,-1,0.131208,0,1
120,10,10,100,1500,-1,0.145596,0,2
130,10,10,100,1500,-1,0.155748,0,2
140,10,10,100,1500,-1,0.168215,0,2
150,10,10,100,1500,-1,0.177216,0,2
160,10,10,100,1500,-1,0.189319,0,2
170,10,10,100,1500,-1,0.202656,0,2
180,10,10,100,1500,-1,0.216504,0,2
190,10,10,100,1500,-1,0.227916,0,2
200,10,10,100,1500,-1,0.239274,0,2
10,50,10,100,1500,-1,0.06012,0,1
20,50,10,100,1500,-1,0.1206,0,2
30,50,10,100,1500,-1,0.184194,0,2
40,50,10,100,1500,-1,0.240264,0,2
50,50,10,100,1500,-1,0.295836,0,2
60,50,10,100,1500,-1,0.360936,0,3
70,50,10,100,1500,-1,0.418431,0,2
80,50,10,100,1500,-1,0.48084,0,3
90,50,10,100,1500,-1,0.540669,0,3
100,50,10,100,1500,-1,0.60343,0,3
110,50,10,100,1500,-1,0.664332,0,3
120,50,10,100,1500,-1,0.722225,0,3
130,50,10,100,1500,-1,0.785364,0,3
140,50,10,100,1500,-1,0.843862,0,4
150,50,10,100,1500,-1,0.900188,0,3
160,50,10,100,1500,-1,0.962393,0,6
170,50,10,100,1500,-1,0.999958,0,22
180,50,10,100,1500,-1,0.9999,0,60
190,50,10,100,1500,-1,0.99998,0,87
200,50,10,100,1500,-1,0.999927,0,111
10,100,10,100,1500,-1,0.11942,0,2
20,100,10,100,1500,-1,0.240852,0,2
30,100,10,100,1500,-1,0.362652,0,3
40,100,10,100,1500,-1,0.479809,0,3
50,100,10,100,1500,-1,0.598489,0,3
60,100,10,100,1500,-1,0.720538,0,3
70,100,10,100,1500,-1,0.84137,0,4
80,100,10,100,1500,-1,0.960396,0,6
90,100,10,100,1500,-1,0.999998,0,107
100,100,10,100,1500,-1,0.99997,0,205
110,100,10,100,1500,-1,0.99998,0,288
120,100,10,100,1500,-1,0.999989,0,359
130,100,10,100,1500,-1,0.99999,0,403
140,100,10,100,1500,-1,0.999997,0,490
150,100,10,100,1500,-1,0.999999,0,507
160,100,10,100,1500,-1,0.999992,0,536
170,100,10,100,1500,-1,1,0,579
180,100,10,100,1500,-1,0.999999,0,594
190,100,10,100,1500,-1,0.999993,0,631
200,100,10,100,1500,-1,0.999998,0,644
10,10,10,100,1500,-1,0.011676,0,1
20,10,10,100,1500,-1,0.024336,0,1
30,10,10,100,1500,-1,0.036708,0,1
40,10,10,100,1500,-1,0.048288,0,1
50,10,10,100,1500,-1,0.060732,0,1
60,10,10,100,1500,-1,0.0723671,0,1
70,10,10,100,1500,-1,0.084,0,2
80,10,10,100,1500,-1,0.095568,0,1
90,10,10,100,1500,-1,0.10962,0,1
100,10,10,100,1500,-1,0.120408,0,2
110,10,10,100,1500,-1,0.131412,0,1
120,10,10,100,1500,-1,0.145008,0,1
130,10,10,100,1500,-1,0.156036,0,2
140,10,10,100,1500,-1,0.168228,0,2
150,10,10,100,1500,-1,0.180132,0,2
160,10,10,100,1500,-1,0.192376,0,1
170,10,10,100,1500,-1,0.202224,0,2
180,10,10,100,1500,-1,0.216024,0,2
190,10,10,100,1500,-1,0.229236,0,2
200,10,10,100,1500,-1,0.2394,0,2
10,50,10,100,1500,-1,0.059616,0,2
20,50,10,100,1500,-1,0.119952,0,2
30,50,10,100,1500,-1,0.177432,0,2
40,50,10,100,1500,-1,0.240576,0,2
50,50,10,100,1500,-1,0.303003,0,2
60,50,10,100,1500,-1,0.359064,0,2
70,50,10,100,1500,-1,0.420438,0,2
80,50,10,100,1500,-1,0.480348,0,3
90,50,10,100,1500,-1,0.540559,0,2
100,50,10,100,1500,-1,0.599808,0,3
110,50,10,100,1500,-1,0.666468,0,3
120,50,10,100,1500,-1,0.722465,0,3
130,50,10,100,1500,-1,0.776148,0,3
140,50,10,100,1500,-1,0.845274,0,3
150,50,10,100,1500,-1,0.896712,0,4
160,50,10,100,1500,-1,0.964851,0,4
170,50,10,100,1500,-1,0.999263,0,18
180,50,10,100,1500,-1,0.999908,0,55
190,50,10,100,1500,-1,0.999889,0,80
200,50,10,100,1500,-1,0.999989,0,107
10,100,10,100,1500,-1,0.11766,0,2
20,100,10,100,1500,-1,0.239064,0,3
30,100,10,100,1500,-1,0.360437,0,2
40,100,10,100,1500,-1,0.478464,0,2
50,100,10,100,1500,-1,0.605956,0,4
60,100,10,100,1500,-1,0.722188,0,3
70,100,10,100,1500,-1,0.83852,0,4
80,100,10,100,1500,-1,0.963586,0,7
90,100,10,100,1500,-1,0.999934,0,97
100,100,10,100,1500,-1,0.999974,0,199
110,100,10,100,1500,-1,0.999987,0,280
120,100,10,100,1500,-1,0.999997,0,348
130,100,10,100,1500,-1,0.999977,0,404
140,100,10,100,1500,-1,0.999999,0,443
150,100,10,100,1500,-1,0.999982,0,502
